name,age,nationality,club,overall,potential,valueEuros,weakFoot,skillMoves,position,pace,shooting,passing,dribbling,defending,physical
L. Messi,32,Argentina,FC Barcelona,94,94,95500000,4,4,RW,87,92,92,96,39,66
Cristiano Ronaldo,34,Portugal,Juventus,93,93,58500000,4,5,LW,90,93,82,89,35,78
Neymar Jr,27,Brazil,Paris Saint-Germain,92,92,105500000,5,5,CAM,91,85,87,95,32,58
E. Hazard,28,Belgium,Real Madrid,91,91,90000000,4,4,LW,91,83,86,94,35,66
K. De Bruyne,28,Belgium,Manchester City,91,91,90000000,5,4,RCM,76,86,92,86,61,78
V. van Dijk,27,Netherlands,Liverpool,90,91,78000000,3,2,LCB,77,60,70,71,90,86
L. Modrić,33,Croatia,Real Madrid,90,90,45000000,4,4,RCM,74,76,89,89,72,66
M. Salah,27,Egypt,Liverpool,90,90,80500000,3,4,RW,93,86,81,89,45,74
K. Mbappé,20,France,Paris Saint-Germain,89,95,93500000,4,5,RW,96,84,78,90,39,75
K. Koulibaly,28,Senegal,Napoli,89,91,67500000,3,2,LCB,71,28,54,67,89,87
H. Kane,25,England,Tottenham Hotspur,89,91,83000000,4,3,ST,70,91,79,81,47,83
N. Kanté,28,France,Chelsea,89,90,66000000,3,2,RCM,78,65,77,81,87,83
G. Chiellini,34,Italy,Juventus,89,89,24500000,3,2,LCB,68,46,58,60,90,82
S. Agüero,31,Argentina,Manchester City,89,89,60000000,4,4,ST,80,90,77,88,33,74
Sergio Ramos,33,Spain,Real Madrid,89,89,31500000,3,3,LCB,72,68,75,73,87,85
L. Suárez,32,Uruguay,FC Barcelona,89,89,53000000,4,3,ST,73,89,80,84,51,84
R. Lewandowski,30,Poland,FC Bayern München,89,89,64500000,4,4,ST,77,87,74,85,41,82
Sergio Busquets,30,Spain,FC Barcelona,89,89,55000000,3,3,CDM,42,62,80,80,85,80
A. Griezmann,28,France,FC Barcelona,89,89,69000000,3,4,LW,81,86,84,89,57,72
P. Dybala,25,Argentina,Juventus,88,92,76500000,3,4,RW,83,82,84,90,43,64
P. Pogba,26,France,Manchester United,88,91,72500000,4,5,LDM,74,81,86,85,66,86
R. Sterling,24,England,Manchester City,88,90,73000000,3,4,LW,93,79,78,89,45,57
C. Eriksen,27,Denmark,Tottenham Hotspur,88,89,68000000,5,4,RM,73,81,90,84,53,63
Piqué,32,Spain,FC Barcelona,88,88,38000000,3,2,RCB,56,61,72,68,88,80
David Silva,33,Spain,Manchester City,88,88,36000000,2,4,LCM,65,74,88,89,52,57
E. Cavani,32,Uruguay,Paris Saint-Germain,88,88,47000000,4,3,ST,75,86,72,79,55,83
D. Godín,33,Uruguay,Inter,88,88,28000000,3,2,RCB,60,48,64,61,89,83
T. Kroos,29,Germany,Real Madrid,88,88,57000000,5,3,LCM,45,80,90,81,70,69
M. Reus,30,Germany,Borussia Dortmund,88,88,56000000,4,4,CAM,85,88,84,87,45,66
